"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2063420,"July 15, 2021",Michigan,Standish,"2100 block of Whites Beach Rd",1,0,N/A
2063408,"July 15, 2021",Illinois,Chicago,"7706 S Seeley Ave",1,0,N/A
2063399,"July 15, 2021",Illinois,Chicago,"1400 Block of S Avers Ave",1,0,N/A
2063346,"July 15, 2021",Illinois,Decatur,"N Illinois St and E Leafland Ave",1,1,N/A
2063301,"July 15, 2021",California,Oakland,"300 block of Ghormley Ave",1,0,N/A
2063156,"July 15, 2021",Arizona,Phoenix,"W Elwood St and S Central Ave",1,0,N/A
2063120,"July 15, 2021","New York",Bronx,"1150 College Ave",1,0,N/A
2062811,"July 14, 2021",California,"Los Angeles","Crenshaw Blvd and W 43rd St",1,1,N/A
2062737,"July 14, 2021",Florida,Orlando,"5284 S Orange Blossom Trl",1,0,N/A
2062696,"July 14, 2021",Georgia,Conley,"Mango Ct and Conley Rd",1,0,N/A
2062651,"July 14, 2021","West Virginia",Nellis,N/A,1,0,N/A
2062601,"July 14, 2021",Texas,Houston,"4900 block of S Cancun Dr",2,1,N/A
2063455,"July 14, 2021",Tennessee,Antioch,"5900 block of Cane Ridge Rd",1,1,N/A
2063451,"July 14, 2021",Tennessee,Nashville,"1800 block of 10th Ave N",1,0,N/A
2062798,"July 14, 2021",Tennessee,Chattanooga,"E Brainerd Rd and Hickory Valley Rd",1,0,N/A
2063432,"July 14, 2021",Michigan,Flint,"100 block of E Hobson Ave",1,0,N/A
2062075,"July 14, 2021",Missouri,"Saint Louis","5588 Dr Martin Luther King Dr",1,1,N/A
2062528,"July 14, 2021",Missouri,Springfield,"1320 S Glenstone Ave",1,0,N/A
2063394,"July 14, 2021",Delaware,Claymont,"Balfour Ave",2,2,N/A
2062323,"July 14, 2021",Nevada,"North Las Vegas","1000 block of E Carey Ave",1,0,N/A
2062829,"July 14, 2021",Illinois,Chicago,"221 S Kilpatrick Ave",1,0,N/A
